,fast,slow_mult,rsi_threshold,opt_leg1_dollar_from_atm,opt_leg2_dollar_from_leg1,stoploss_pct_of_maxprofit,pnl,model_num,day
0,30,3,70,2,5,0.1,-741.1999999999971,12,2022-02-04
1,30,3,70,2,5,0.1,-27502.600000000013,12,2022-02-11
2,30,3,70,2,5,0.1,-4145.799999999999,12,2022-02-18
3,30,3,70,2,5,0.1,-14.400000000001455,12,2022-02-25
4,20,3,70,2,5,1.0,-2786.4000000000024,2,2022-03-04
5,20,3,70,2,5,1.0,28715.399999999998,2,2022-03-11
6,20,3,70,2,5,1.0,26641.2,2,2022-03-18
7,20,3,70,2,5,1.0,9632.000000000002,2,2022-03-25
8,30,3,70,2,10,1.0,9629.2,17,2022-04-01
9,30,3,70,2,10,1.0,-13172.0,17,2022-04-08
10,30,3,70,2,10,1.0,12879.0,17,2022-04-22
11,30,3,70,2,10,1.0,22098.0,17,2022-04-29
12,30,3,70,5,10,1.0,13677.599999999999,23,2022-05-06
13,30,3,70,5,10,1.0,-3441.199999999999,23,2022-05-13
14,30,3,70,5,10,1.0,7461.999999999999,23,2022-05-20
15,30,3,70,5,10,1.0,5299.2,23,2022-05-27
16,30,3,70,5,10,1.0,5727.6,23,2022-06-03
17,30,3,70,5,10,1.0,4408.8,23,2022-06-10
18,30,3,70,5,10,1.0,-6719.6,23,2022-06-17
19,30,3,70,5,10,1.0,2043.6,23,2022-06-24
20,20,3,70,5,10,0.1,-3454.3999999999996,9,2022-07-01
21,20,3,70,5,10,0.1,-1040.6000000000001,9,2022-07-08
22,20,3,70,5,10,0.1,-234.39999999999918,9,2022-07-15
23,20,3,70,5,10,0.1,-705.5999999999999,9,2022-07-22
24,20,3,70,5,10,0.1,2300.0,9,2022-07-29
25,30,3,70,2,10,1.0,6602.4,17,2022-08-05
26,30,3,70,2,10,1.0,8236.8,17,2022-08-12
27,30,3,70,2,10,1.0,-2901.199999999998,17,2022-08-19
28,30,3,70,2,10,1.0,22250.4,17,2022-08-26
29,20,3,70,2,5,0.5,-9852.600000000002,1,2022-09-02
30,20,3,70,2,5,0.5,16129.399999999998,1,2022-09-09
31,20,3,70,2,5,0.5,25461.599999999995,1,2022-09-16
32,20,3,70,2,5,0.5,13249.000000000004,1,2022-09-23
33,20,3,70,2,5,0.5,-21123.2,1,2022-09-30
34,30,3,70,5,10,1.0,5771.999999999999,23,2022-10-07
35,30,3,70,5,10,1.0,6995.400000000001,23,2022-10-14
36,30,3,70,5,10,1.0,5512.0,23,2022-10-21
37,30,3,70,5,10,1.0,25881.399999999998,23,2022-10-28
38,30,3,70,2,5,0.5,70579.60000000002,13,2022-11-04
39,30,3,70,2,5,0.5,-29625.800000000003,13,2022-11-11
40,30,3,70,2,5,0.5,15585.399999999998,13,2022-11-18
