,fast,slow_mult,rsi_threshold,opt_leg1_dollar_from_atm,opt_leg2_dollar_from_leg1,stoploss_pct_of_maxprofit,pnl,model_num,day
0,30,3,70,2,5,0.1,455.8000000000029,12,2022-02-04
1,30,3,70,2,5,0.1,-25746.600000000006,12,2022-02-11
2,30,3,70,2,5,0.1,-3256.3999999999996,12,2022-02-18
3,30,3,70,2,5,0.1,1163.9999999999927,12,2022-02-25
4,20,3,70,2,5,1.0,-2462.4000000000024,2,2022-03-04
5,20,3,70,2,5,1.0,29016.399999999998,2,2022-03-11
6,20,3,70,2,5,1.0,26939.2,2,2022-03-18
7,20,3,70,2,5,1.0,9912.000000000002,2,2022-03-25
8,30,3,70,2,5,1.0,19836.0,14,2022-04-01
9,30,3,70,2,5,1.0,-27420.000000000007,14,2022-04-08
10,30,3,70,2,5,1.0,25660.8,14,2022-04-22
11,30,3,70,2,5,1.0,40351.8,14,2022-04-29
12,20,3,70,2,10,0.1,-24022.0,3,2022-05-06
13,20,3,70,2,10,0.1,14033.0,3,2022-05-13
14,20,3,70,2,10,0.1,18879.0,3,2022-05-20
15,20,3,70,2,10,0.1,14407.200000000003,3,2022-05-27
16,30,3,70,5,10,1.0,5901.999999999999,23,2022-06-03
17,30,3,70,5,10,1.0,4575.200000000001,23,2022-06-10
18,30,3,70,5,10,1.0,-6521.200000000001,23,2022-06-17
19,30,3,70,5,10,1.0,2823.5999999999995,23,2022-06-24
20,20,3,70,5,10,0.1,-3213.0,9,2022-07-01
21,20,3,70,5,10,0.1,-927.2000000000002,9,2022-07-08
22,20,3,70,5,10,0.1,145.8000000000011,9,2022-07-15
23,20,3,70,5,10,0.1,-584.1999999999999,9,2022-07-22
24,20,3,70,5,10,0.1,2444.4,9,2022-07-29
25,30,3,70,2,10,1.0,6784.800000000001,17,2022-08-05
26,30,3,70,2,10,1.0,8368.8,17,2022-08-12
27,30,3,70,2,10,1.0,-2658.399999999998,17,2022-08-19
28,30,3,70,2,10,1.0,22549.8,17,2022-08-26
29,20,3,70,2,5,0.5,-9106.6,1,2022-09-02
30,20,3,70,2,5,0.5,16527.2,1,2022-09-09
31,20,3,70,2,5,0.5,25937.4,1,2022-09-16
32,20,3,70,2,5,0.5,13971.2,1,2022-09-23
33,20,3,70,2,5,0.5,-20930.399999999998,1,2022-09-30
34,30,3,70,5,10,1.0,5947.4,23,2022-10-07
35,30,3,70,5,10,1.0,7180.8,23,2022-10-14
36,30,3,70,5,10,1.0,5685.4,23,2022-10-21
37,30,3,70,5,10,1.0,26032.399999999998,23,2022-10-28
38,30,3,70,2,5,0.5,71647.20000000001,13,2022-11-04
39,30,3,70,2,5,0.5,-28634.000000000004,13,2022-11-11
40,30,3,70,2,5,0.5,16249.0,13,2022-11-18
41,30,3,70,2,5,0.5,2964.0,13,2022-11-25
42,20,3,70,2,5,0.5,18358.0,1,2022-12-02
43,20,3,70,2,5,0.5,19950.4,1,2022-12-09
44,20,3,70,2,5,0.5,17.999999999996362,1,2022-12-16
45,20,3,70,2,5,0.5,-15200.19999999999,1,2022-12-23
46,20,3,70,2,5,0.5,55715.19999999999,1,2022-12-30
47,20,3,70,5,10,1.0,-3247.2,11,2023-01-06
48,20,3,70,5,10,1.0,1562.9999999999998,11,2023-01-13
49,20,3,70,5,10,1.0,4708.2,11,2023-01-20
50,20,3,70,5,10,1.0,1872.0000000000002,11,2023-01-27
51,30,3,70,5,10,0.5,-693.7999999999998,22,2023-02-03
52,30,3,70,5,10,0.5,2918.5999999999995,22,2023-02-10
53,30,3,70,5,10,0.5,2410.4,22,2023-02-17
54,30,3,70,5,10,0.5,1900.8,22,2023-02-24
55,20,3,70,5,5,1.0,1867.2000000000003,8,2023-03-03
56,20,3,70,5,5,1.0,20519.999999999996,8,2023-03-10
57,20,3,70,5,5,1.0,-906.0000000000009,8,2023-03-17
58,20,3,70,5,5,1.0,980.4000000000015,8,2023-03-24
59,20,3,70,5,5,1.0,1152.7999999999997,8,2023-03-31
60,30,3,70,2,5,1.0,200.00000000000546,14,2023-04-14
61,30,3,70,2,5,1.0,-7008.799999999998,14,2023-04-21
62,30,3,70,2,5,1.0,7233.600000000001,14,2023-04-28
63,30,3,70,2,5,0.1,10790.4,12,2023-05-05
64,30,3,70,2,5,0.1,-674.5999999999995,12,2023-05-12
65,30,3,70,2,5,0.1,-4154.5999999999985,12,2023-05-19
66,30,3,70,2,5,0.1,11392.8,12,2023-05-26
67,30,3,70,2,5,0.5,15539.400000000001,13,2023-06-02
68,30,3,70,2,5,0.5,14666.4,13,2023-06-09
69,30,3,70,2,5,0.5,-5894.999999999998,13,2023-06-16
70,30,3,70,2,5,0.5,68560.0,13,2023-06-23
71,30,3,70,2,5,0.5,7061.2,13,2023-06-30
72,20,3,70,2,10,1.0,3159.0,5,2023-07-07
73,20,3,70,2,10,1.0,2331.6,5,2023-07-21
74,20,3,70,2,10,1.0,1213.2,5,2023-07-28
75,20,3,70,2,10,0.1,-8043.200000000001,3,2023-08-04
76,20,3,70,2,10,0.1,13613.600000000002,3,2023-08-11
77,20,3,70,2,10,0.1,952.4000000000015,3,2023-08-18
78,20,3,70,2,10,0.1,-10652.200000000004,3,2023-08-25
79,20,3,70,5,5,0.1,0.0,6,2023-09-01
80,20,3,70,5,5,0.1,0.0,6,2023-09-08
81,20,3,70,5,5,0.1,5041.600000000001,6,2023-09-15
82,20,3,70,5,5,0.1,0.0,6,2023-09-22
83,20,3,70,5,5,0.1,0.0,6,2023-09-29
84,20,3,70,2,10,1.0,10706.8,5,2023-10-06
85,20,3,70,2,10,1.0,-10933.599999999997,5,2023-10-13
86,20,3,70,2,10,1.0,-15827.199999999997,5,2023-10-20
87,20,3,70,2,10,1.0,12069.199999999999,5,2023-10-27
88,30,3,70,2,5,0.1,3863.999999999999,12,2023-11-03
89,30,3,70,2,5,0.1,-7205.399999999999,12,2023-11-10
90,30,3,70,2,5,0.1,5927.800000000001,12,2023-11-17
91,30,3,70,2,5,0.1,0.0,12,2023-11-24
92,20,3,70,2,10,0.5,4542.4,4,2023-12-01
93,20,3,70,2,10,0.5,-3069.3999999999996,4,2023-12-08
94,20,3,70,2,10,0.5,5123.8,4,2023-12-15
95,20,3,70,2,10,0.5,-6020.999999999999,4,2023-12-22
96,20,3,70,2,10,0.5,8036.0,4,2023-12-29
97,30,3,70,2,10,0.1,-904.1999999999994,15,2024-01-05
98,30,3,70,2,10,0.1,-11217.599999999999,15,2024-01-12
99,30,3,70,2,10,0.1,-1012.7999999999988,15,2024-01-19
100,30,3,70,2,10,0.1,-1565.1999999999991,15,2024-01-26
101,20,3,70,2,10,0.5,6127.2,4,2024-02-02
102,20,3,70,2,10,0.5,-3000.7999999999997,4,2024-02-09
103,20,3,70,2,10,0.5,4406.4,4,2024-02-16
104,20,3,70,2,10,0.5,15704.599999999997,4,2024-02-23
105,20,3,70,2,5,0.1,17520.0,0,2024-03-01
106,20,3,70,2,5,0.1,-2788.9999999999945,0,2024-03-08
107,20,3,70,2,5,0.1,4356.600000000001,0,2024-03-15
108,20,3,70,2,5,0.1,850.1999999999989,0,2024-03-22
109,20,3,70,5,5,1.0,5373.8,8,2024-04-05
